"","ëŒè€ÉäÉXÉN","(Intercept)","age","bmi","sbp","ldl","gpt","hb","bmi2","sbp2","dbp2","ldl2","dbp","tg","hdl","got","ggtp","hba1c","tg2","hdl2","got2","gpt2","ggtp2","hba1c2","hb2","AUC","Sensitivity","Specificity","Score"
"stepwise.model3","hdlj",7611.32254549468,9.87155627645274,-152.18136358799,47.2792673411381,NA,NA,NA,NA,-51.8800421412982,51.7632124364197,NA,-53.956780474945,3.6601175566116,NA,NA,NA,686.971785863454,-6.53237811632977,-130.148242645136,NA,NA,NA,-533.319721085163,NA,0.922582983996148,0.866666666666667,0.87546468401487,-2267.56635296356
"LASSO.model3","hdlj",5.99116073973402,0,-0.0169645267470413,0,0,0.00400776108565339,0,-0.0337309566447824,0,0,0,0,0.00328229217210889,0,0,0,0.307528937615479,-0.00241586384824934,-0.256636841145358,0,0,0,0,0,0.945304384507725,0.95,0.877600253104485,-6.60286353892176
"full.model4","hba1cj",-26.7512789762044,0.0500311157465041,-0.361922314817219,0.0349090128548578,0.00228398637882024,0.0332812085423079,-0.34157108201685,0.530600052941629,-0.0461500547702962,0.0355208287468981,-0.00864224389979608,-0.0400694207181564,-0.00250791023394421,-0.0187715197729086,-0.0239067746686006,-0.0200723812638258,-0.400310485116102,0.00253624617243907,-0.00495736883819686,-0.0633080790616305,0.0373014404146675,0.0107212854329184,4.42503756448414,0.233495525692279,0.983570912088248,0.946768060836502,0.939766317485898,-3.57162012935937
"stepwise.model4","hba1cj",-29.5695240961034,0.0379932654503862,-0.32967371670621,NA,NA,NA,NA,0.504834019913847,-0.0191771782131727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0915354960251449,0.061642846158135,NA,4.08971618434179,NA,0.988845237037403,0.944866920152091,0.963053988718775,-2.99294977888688
"LASSO.model4","hba1cj",2631.84270879925,150.205527620211,-373.316405983762,-3.76438429689328,13.0061627494935,766.938331506282,-538.680888328001,521.183857143848,-2.94245144577775,18.5753660739994,14.2211472889889,-7.42525720943076,-1.60797106272896,-10.140519664908,22.5336237435638,32.641521525359,-965.605793864435,7.9119844877306,46.4170506742458,-339.574240149225,-2213.056813175,112.776974497959,-331.79190889783,1309.62667060894,0.325789639779033,0.0494296577946768,0.972280419016922,13009.0895894234
"full.model5","sbpr",-20.5420757765462,0.0268066559069989,-0.206420735847532,0.0544742616294798,0.00623152144007427,-0.0185558391302713,-0.0748044103536795,0.260664933721212,0.0602429123067567,0.0347168999509592,-0.00397254304686767,-4.28656210260334e-05,-0.000460264025967892,-0.000939552377674558,0.0353358283619084,-0.00310347811537559,0.468187970228714,0.00139895415777027,-0.000180889650748924,0.0137177793634345,-0.0131018491249941,0.00069918913613831,-0.493808977475028,0.0300798864023451,0.910649013688494,0.850045787545788,0.81466298026504,-1.71227628526656
"stepwise.model5","sbpr",-21.1152149013559,0.0296985727790962,-0.200066208426758,0.0539217114788827,NA,-0.0277490400419748,NA,0.257358469916901,0.0599488841318623,0.033762136939803,NA,NA,NA,NA,0.0430992214823151,NA,0.556351784845757,NA,NA,NA,NA,NA,-0.535118610206349,NA,0.911636802832361,0.848443223443223,0.816855753646678,-1.70446319623426
"LASSO.model5","sbpr",-18.2488052514602,0.0221502590795705,0,0.0471468734913158,0.000701775606417659,0,0,0.0282556885419309,0.0577476523280195,0.0286229373366418,0,0,0,0,0.00203498098110229,0,0,0.000369865170588496,0,0,0,0,0,0,0.914779932980628,0.849130036630037,0.819620554867004,-1.62510069659348
"full.model6","dbpr",-18.1989394940044,-0.00923064336900365,-0.182254170010043,0.0370134934920539,0.00509405201786678,-0.00256287120659493,0.041594312116535,0.19845393297584,0.00496938594993043,0.0975813393682993,-0.00445824924410693,0.0607536087785564,-0.00131415514877031,-0.0105669776877981,0.018542048358396,-0.00765901639060087,0.435999740205585,0.00264142484324873,0.00689072579506383,0.00239168501533517,-0.0068050178334341,0.00303309910524504,-0.613561787537785,-0.0742489390800772,0.919009118591899,0.880915438324282,0.802222417427969,-2.46288030786429
"stepwise.model6","dbpr",-18.5753144249659,NA,-0.157829688779167,0.0376380756114753,NA,NA,NA,0.171943017273238,NA,0.100216007090554,NA,0.0596721841847509,NA,NA,0.0124137574571791,-0.00596853050950873,NA,0.00195152676608477,NA,NA,NA,NA,-0.221832629146525,NA,0.920488199653537,0.877424359968968,0.814476458186929,-2.37009532303855
"LASSO.model6","dbpr",-17.1867272275616,0,0,0.0309187021444937,0,0,0,0.00135267920414583,0.00322049782044976,0.0888067184588629,0,0.0561907157654337,0,0,0,0,0,0.000933746329552294,0,0,0,0,-0.0737351358918979,0,0.921815021368373,0.867726920093095,0.82659873506676,-2.21905608692806
"full.model7","tgr",-8.04132137745525,-0.00626324263582789,-0.248799666061807,0.0153197051260975,-9.56104769371471e-05,0.0142478483868268,0.0931961221901815,0.275043914302781,-0.00758708746519985,-0.00709680244404631,0.00752435712497448,-0.00126640119854862,0.0138469528701519,-0.00660410454964253,-0.0156954161525833,0.0047835332970869,0.340714060207547,0.0144372760698733,-0.0149592887785851,0.0305717602239239,-0.0204921589143857,0.00154766351949394,-0.262906734444375,0.0352710204912445,0.904532795924233,0.849717514124294,0.813362125953021,-2.4099656520724
"stepwise.model7","tgr",-7.6974745685158,NA,-0.209716100056564,0.0133184135222862,NA,NA,0.112927207081776,0.239070552336827,-0.0110547729835585,NA,0.00761982887451101,NA,0.0138328910444461,NA,NA,0.00639363579456705,NA,0.0143748342839044,-0.0200116514847632,NA,NA,NA,NA,NA,0.905279402197061,0.860640301318267,0.801286853818695,-2.47885596020976
"LASSO.model7","tgr",-6.8356706143459,0,0,0.0016997327619897,0,5.59168738657069e-05,0.0530314069512817,0.02911410844483,0,0,0.00617546077416786,0,0.0128805951824655,-0.00127093942939084,0,0.00458717084077988,0.0210778724836133,0.0138921752463979,-0.0136144393623236,0,0,0,0,0.00400057532918632,0.90907081223294,0.870809792843691,0.800096954739765,-2.42838157023948
"full.model8","hdlr",17.2531539159355,-0.0620872310253643,-0.184135098998138,0.0544880249153969,-0.00132954758615585,-0.00513889435280365,-0.231537279974215,0.31057015821208,-0.0789790785221404,0.0735367090414829,0.0127679415768899,-0.051482560099262,0.00211133220700799,-0.0592246827009377,0.0510409010357191,-0.0735191360596565,0.105390229752532,0.00220458958520771,-0.329332634797265,0.0332611206986686,-0.025365196257488,0.013875711930574,-0.280706231233215,0.00497408228222049,0.958580258514316,0.911764705882353,0.903434504792332,-5.44182701600874
"stepwise.model8","hdlr",14.3134572183171,-0.0563521674949298,NA,0.0350352059365697,NA,NA,NA,0.102089623470583,-0.0337544494767364,NA,NA,NA,NA,-0.0823860046236782,0.0343888925381025,-0.0478391973911879,NA,NA,-0.2967577232499,NA,NA,NA,NA,NA,0.962645388293622,0.918300653594771,0.901996805111821,-5.30006370365664
"LASSO.model8","hdlr",8.51847577978298,-0.0136598887958308,0,0,0,0,-0.10579483195648,0.0331099032075955,0,0,0,0,0,-0.0530832007789954,0.0169026637507422,-0.00765359761024898,0,0.00109771793198218,-0.170377895296761,0,0,0,0,-0.0253667883534402,0.971777965712287,0.944444444444444,0.906549520766773,-3.99284140609241
"full.model9","hba1cr",-42.9297059592693,0.0250161018555753,-0.106745195200534,-0.00656922952965634,0.00126788809400677,-0.00342297539124243,0.0926524148350121,0.117877981343616,-0.000189536387805423,0.00545364830028622,-0.000542943093520842,-0.00336876968050686,0.000179037071798431,-0.00548087047285714,0.00272515082244606,0.00515344657844977,2.22882791848458,0.000161417015318167,-0.000278250931935429,-0.00616405841614469,0.00554640431828354,-0.00371281325660886,5.84187290597352,-0.0458461610160687,0.927173210974171,0.846611177170036,0.850255948697756,-0.787533450511883
"stepwise.model9","hba1cr",-44.0119742362309,0.025117756889381,NA,-0.00487373103788736,NA,NA,0.0708367377901313,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2278592029745,NA,NA,NA,NA,NA,5.977301541723,NA,0.926750957066582,0.869863918615405,0.826011137987287,-0.986769855389394
"LASSO.model9","hba1cr",-41.3176758326907,0.0231198806729427,0,-0.00481719973554757,0.000881942517946175,0,0.0382022831932836,0.0161993352476979,0,0.00061579436280409,0,-0.00033053980530135,0,-0.00287183893338855,0,0.00145333526487894,2.05451012851463,0.000131928308837701,-0.00195531806739325,0,0,0,5.68049534422318,0,0.927260402660399,0.848064473510371,0.846374528885639,-0.808170972508762
