"","ëŒè€ÉäÉXÉN","(Intercept)","age","bmi","sbp","ldl","gpt","hb","bmi2","sbp2","dbp2","ldl2","dbp","tg","hdl","got","ggtp","hba1c","tg2","hdl2","got2","gpt2","ggtp2","hba1c2","hb2","AUC","Sensitivity","Specificity","Score"
"LASSO.model2","tgj",-11.0842739485752,0.031233217688192,-0.0731764270127918,-0.00674106248741829,0.001147002958195,0,-0.40371929646404,-0.0102990443083573,0.0213136175755349,-0.00371458514290487,0.00528914911375235,0,0.00969074625325067,0.0360932372658509,0.0147557588690395,-0.000213377783199271,0,0.00849836753319888,-0.0720262365671201,-0.00308914699093986,-0.00731316100892877,0.00559945328352155,0.136682905698942,0.622387752724527,0.894258042947749,0.865448504983389,0.762537764350453,-4.08034718609019
"SCAD.model2","tgj",-7.05380238092247,0,0,0,0,0,0,0,0,0,0,0,0.00951441459593176,0,0,0,0,0.0105021633439968,0,0,0,0,0,0,0.915038916679494,0.850498338870432,0.834580525214966,-3.68690615894968
"full.model3","hdlj",44.0929325784301,0.104078690724701,0.415181852340028,0.0524434663816011,0.0336279550364884,-0.0260124904234265,-0.00664967700008631,-0.56557665370571,-0.0122284228830112,0.0156980808877971,-0.0312746058701552,-0.0221823533543817,-0.00255070355282343,-0.308932888702601,-0.0379895636777622,0.00374816206127758,0.806298187412219,-0.00227416851179216,-0.618309518396049,-0.106799332871802,0.113007201750464,-0.00398647327851445,-1.81205178540814,-0.808989390193892,0.967897677869259,0.931034482758621,0.899478404099561,-7.94148290077795
"stepwise.model3","hdlj",44.1945794630458,0.107901618615783,NA,0.0318178612997397,0.0356624569169146,-0.0305405882461719,NA,-0.215928115488261,NA,NA,-0.0304245673094344,NA,NA,-0.311697346270074,NA,NA,NA,NA,-0.589983069847605,-0.118424694465471,0.113380824820707,NA,-1.46531465926238,-0.713843275172103,0.968796104631964,0.950191570881226,0.879712664714495,-8.64913965297614
"LASSO.model3","hdlj",18.3499971218922,0.0345672094543756,-0.0298055779169535,0.00372494198090706,0,0,0,0,0,0,0,0,0,-0.116887480387937,-0.0033014588262956,0,0,-0.00209819938183623,-0.380686789737362,0,0.0108919752140997,0,-0.21355560583927,-0.173065724291428,0.972857168902094,0.957854406130268,0.898060029282577,-4.99681395513703
"SCAD.model3","hdlj",21.1241467349022,0,0,0,0,0,0,0,0,0,0,0,0,-0.133211996752284,0,0,0,0,-0.520146209868531,0,0,0,0,0,0.973203041292917,0.954022988505747,0.902681185944363,-6.04285288338313
"full.model4","hba1cj",-26.7512789762044,0.0500311157465041,-0.361922314817219,0.0349090128548578,0.00228398637882024,0.0332812085423079,-0.34157108201685,0.530600052941629,-0.0461500547702962,0.0355208287468981,-0.00864224389979608,-0.0400694207181564,-0.00250791023394421,-0.0187715197729086,-0.0239067746686006,-0.0200723812638258,-0.400310485116102,0.00253624617243907,-0.00495736883819686,-0.0633080790616305,0.0373014404146675,0.0107212854329184,4.42503756448414,0.233495525692279,0.983570912088248,0.946768060836502,0.939766317485898,-3.57162012935937
"stepwise.model4","hba1cj",-29.5695240961034,0.0379932654503862,-0.32967371670621,NA,NA,NA,NA,0.504834019913847,-0.0191771782131727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0915354960251449,0.061642846158135,NA,4.08971618434179,NA,0.988845237037403,0.944866920152091,0.963053988718775,-2.99294977888688
"LASSO.model4","hba1cj",-26.2375740110926,0,0,0,0,0.00736679212477695,0,0.123832819114231,0,0,0,0,0,-0.00302028137426134,0,0,0,0.00160545489396914,0,0,0.00153716203174996,0,3.5468672814116,0,0.990710070683787,0.961977186311787,0.961684125705077,-2.98588127371284
"SCAD.model4","hba1cj",-26.8456812815107,0,0,0,0,0,0,0.016665024434714,0,0,0,0,0,0,0,0,4.22020412110846,0,0,0,0,0,0,0,0.988359151671503,0.960076045627376,0.94842868654311,-3.1862694581204
"full.model5","sbpr",-20.5420757765462,0.0268066559069989,-0.206420735847532,0.0544742616294798,0.00623152144007427,-0.0185558391302713,-0.0748044103536795,0.260664933721212,0.0602429123067567,0.0347168999509592,-0.00397254304686767,-4.28656210260334e-05,-0.000460264025967892,-0.000939552377674558,0.0353358283619084,-0.00310347811537559,0.468187970228714,0.00139895415777027,-0.000180889650748924,0.0137177793634345,-0.0131018491249941,0.00069918913613831,-0.493808977475028,0.0300798864023451,0.910649013688494,0.850045787545788,0.81466298026504,-1.71227628526656
"stepwise.model5","sbpr",-21.1152149013559,0.0296985727790962,-0.200066208426758,0.0539217114788827,NA,-0.0277490400419748,NA,0.257358469916901,0.0599488841318623,0.033762136939803,NA,NA,NA,NA,0.0430992214823151,NA,0.556351784845757,NA,NA,NA,NA,NA,-0.535118610206349,NA,0.911636802832361,0.848443223443223,0.816855753646678,-1.70446319623426
"LASSO.model5","sbpr",-17.9249202380501,0.0212318568741436,0,0.0465008871935142,0.000510571731558979,0,0,0.0269279886830595,0.0573244550198172,0.0277935624196227,0,0,0,0,0.00103078331963294,0,0,0.000308978512778544,0,0,0,0,0,0,0.914781035216773,0.855311355311355,0.813661931547335,-1.65577769646651
"SCAD.model5","sbpr",-19.3238654713484,0.0255553830372316,0,0.0538114610133935,0,0,0,0.0185960848937793,0.0738106498635891,0.00837882047674327,0,0,0,0,0,0,0,0.000100898440244278,0,0,0,0,0,0,0.914061525994269,0.833104395604396,0.835160644484698,-1.5722845942589
"full.model6","dbpr",-18.1989394940044,-0.00923064336900365,-0.182254170010043,0.0370134934920539,0.00509405201786678,-0.00256287120659493,0.041594312116535,0.19845393297584,0.00496938594993043,0.0975813393682993,-0.00445824924410693,0.0607536087785564,-0.00131415514877031,-0.0105669776877981,0.018542048358396,-0.00765901639060087,0.435999740205585,0.00264142484324873,0.00689072579506383,0.00239168501533517,-0.0068050178334341,0.00303309910524504,-0.613561787537785,-0.0742489390800772,0.919009118591899,0.880915438324282,0.802222417427969,-2.46288030786429
"stepwise.model6","dbpr",-18.5753144249659,NA,-0.157829688779167,0.0376380756114753,NA,NA,NA,0.171943017273238,NA,0.100216007090554,NA,0.0596721841847509,NA,NA,0.0124137574571791,-0.00596853050950873,NA,0.00195152676608477,NA,NA,NA,NA,-0.221832629146525,NA,0.920488199653537,0.877424359968968,0.814476458186929,-2.37009532303855
"LASSO.model6","dbpr",-17.1867272275616,0,0,0.0309187021444937,0,0,0,0.00135267920414583,0.00322049782044976,0.0888067184588629,0,0.0561907157654337,0,0,0,0,0,0.000933746329552294,0,0,0,0,-0.0737351358918979,0,0.921815021368373,0.867726920093095,0.82659873506676,-2.21905608692806
"SCAD.model6","dbpr",-18.8072139796504,0,0,0.0350137969028586,0,0,0,0,0,0.0997539731468328,0,0.0609000983024265,0,0,0,0,0,0,0,0,0,0,0,0,0.921193955884853,0.86811481768813,0.824622276879831,-2.30083157916939
"full.model7","tgr",-8.04132137745525,-0.00626324263582789,-0.248799666061807,0.0153197051260975,-9.56104769371471e-05,0.0142478483868268,0.0931961221901815,0.275043914302781,-0.00758708746519985,-0.00709680244404631,0.00752435712497448,-0.00126640119854862,0.0138469528701519,-0.00660410454964253,-0.0156954161525833,0.0047835332970869,0.340714060207547,0.0144372760698733,-0.0149592887785851,0.0305717602239239,-0.0204921589143857,0.00154766351949394,-0.262906734444375,0.0352710204912445,0.904532795924233,0.849717514124294,0.813362125953021,-2.4099656520724
"stepwise.model7","tgr",-7.6974745685158,NA,-0.209716100056564,0.0133184135222862,NA,NA,0.112927207081776,0.239070552336827,-0.0110547729835585,NA,0.00761982887451101,NA,0.0138328910444461,NA,NA,0.00639363579456705,NA,0.0143748342839044,-0.0200116514847632,NA,NA,NA,NA,NA,0.905279402197061,0.860640301318267,0.801286853818695,-2.47885596020976
"LASSO.model7","tgr",-6.8356706143459,0,0,0.0016997327619897,0,5.59168738657069e-05,0.0530314069512817,0.02911410844483,0,0,0.00617546077416786,0,0.0128805951824655,-0.00127093942939084,0,0.00458717084077988,0.0210778724836133,0.0138921752463979,-0.0136144393623236,0,0,0,0,0.00400057532918632,0.90907081223294,0.870809792843691,0.800096954739765,-2.42838157023948
"SCAD.model7","tgr",-6.1235302565545,0,0,0.000204187656916294,0.00598678721909536,0,0.0358639543078709,0.0163394196444481,0,0,0.000822118659469701,0,0.0129254685898112,-0.0204031939086974,0,0.00665759510948465,0,0.0156549385600372,0,0,0,0,0,0.01024661463268,0.908455686612858,0.853483992467043,0.816799612181041,-2.38232323611609
"full.model8","hdlr",17.0441390275314,-0.0291421464507341,-0.0678132516524781,-0.020950440670452,-0.000973682399334975,0.00740770852489997,-0.259347260974571,0.00153155125186513,0.0266517101624604,-0.0181684107195664,0.00453938892812859,-0.0106317394354082,0.00430947642088288,-0.165263252652522,-0.0248318874492991,-0.00773493990921094,0.262684534387779,-0.00108337462530541,-0.22683100533666,0.0189500967283413,-0.00296571646092482,0.0067336272099638,-0.0184102084184086,0.22358432266636,0.950240503548041,0.896290050590219,0.87310687497014,-3.0116622150497
"stepwise.model8","hdlr",16.3212124879806,-0.028156245186948,-0.0616621437663933,-0.0153408527949108,NA,NA,NA,NA,NA,NA,NA,NA,0.00299960063595987,-0.175549753512015,NA,NA,0.257292378281375,NA,-0.204065545137475,0.0122265101557451,NA,NA,NA,NA,0.951840718435464,0.868465430016863,0.903826859681812,-2.48221184175649
"LASSO.model8","hdlr",11.5756122259461,0,-0.00144777561149036,0,0,0,-0.0133378971231695,0,0,0,0,-0.0145042348375843,0.0019537580425318,-0.145539251681265,0,0,0,0,-0.159587374309039,0.00672189819007828,0.000121614232426268,0,0.0229064457831189,0,0.952686184905512,0.896290050590219,0.878027805647126,-2.56873330014481
"SCAD.model8","hdlr",14.1144497534982,0,0,0,0,0,0,0,0,0,0,0,0,-0.182744992011957,0,0,0,0,-0.203050967194593,0,0,0,0,0,0.953307232960025,0.903035413153457,0.878887774114949,-2.81996928585644
"full.model9","hba1cr",-42.9297059592693,0.0250161018555753,-0.106745195200534,-0.00656922952965634,0.00126788809400677,-0.00342297539124243,0.0926524148350121,0.117877981343616,-0.000189536387805423,0.00545364830028622,-0.000542943093520842,-0.00336876968050686,0.000179037071798431,-0.00548087047285714,0.00272515082244606,0.00515344657844977,2.22882791848458,0.000161417015318167,-0.000278250931935429,-0.00616405841614469,0.00554640431828354,-0.00371281325660886,5.84187290597352,-0.0458461610160687,0.927173210974171,0.846611177170036,0.850255948697756,-0.787533450511883
"stepwise.model9","hba1cr",-44.0119742362309,0.025117756889381,NA,-0.00487373103788736,NA,NA,0.0708367377901313,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2278592029745,NA,NA,NA,NA,NA,5.977301541723,NA,0.926750957066582,0.869863918615405,0.826011137987287,-0.986769855389394
"LASSO.model9","hba1cr",-40.9867392026248,0.0229811149704719,0,-0.00428346943700071,0.000899777232265244,0,0.0350037638508723,0.0159203163430028,0,0,0,0,0,-0.00281162818870917,0,0.00135677947013406,2.03089487223298,0.000113974603833414,-0.00186557472489316,0,0,0,5.63996192789308,0,0.927289327825995,0.847800237812128,0.846543286268774,-0.804113832215947
"SCAD.model9","hba1cr",-21.5070853525265,0.00976545351022444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99163455835577,0,0.921195032514538,0.876205575373233,0.81048545873882,-0.827489139074643
