"","ëŒè€ÉäÉXÉN","(Intercept)","age","sbp","got","fbg","sbp2","hdl2","got2","gpt2","hb2","bmi","dbp","tg","hdl","ldl","gpt","ggtp","hb","bmi2","dbp2","tg2","ldl2","ggtp2","fbg2","AUC","Sensitivity","Specificity","Score"
"stepwise.model4","hba1cj",-17.6731866529988,NA,NA,NA,0.0977152970472149,NA,-0.0854432945759123,NA,NA,-0.458377763748767,0.180109576895897,NA,NA,0.0680439340096391,0.0104413977860744,NA,NA,NA,NA,NA,NA,NA,NA,0.0523273223928967,0.945843182901147,0.882470119521912,0.889659958362248,-3.99684115570884
"LASSO.model4","hba1cj",-18.5674273222571,0,0,0,0.0877286945425794,0,-0.00956261322090063,0.00245497009504916,0,-0.120999496337834,0.0965755064678697,0,0,0,0.00472260966304638,0,0,0,0,0,0,0,0,0.0466594914239744,0.953050255604946,0.906374501992032,0.892250751792736,-3.88058279523352
"SCAD.model4","hba1cj",-19.7515062777826,0,0,0,0.0976157815926906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539782561936799,0.944266791266582,0.864541832669323,0.909044644922507,-3.78470325846069
"full.model5","sbpr",-19.1138674833283,-0.000457604241978674,0.0570645611871338,-0.00416087468294517,-0.00972683578479992,0.0509043388188461,0.00530050985681897,-0.031326135349823,0.0156486570541469,0.0927176051373528,-0.0394442549543212,0.00976759410007931,0.00088680550112152,0.00293578436311624,0.00524371028627293,-0.000140206929604799,-0.00164685775711169,-0.0642212844349317,0.0870069413812324,0.0483759166647973,-0.000241518923239812,-0.00523769560931056,0.00128023853824485,-0.00722403914326001,0.87933065754442,0.815587897357334,0.776738680082865,-1.3169196191074
"stepwise.model5","sbpr",-18.7394476947793,NA,0.0605185663774229,NA,-0.0149658116719482,0.050741081702124,0.00646037757252794,-0.0342281272106556,0.0159087013376121,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0489206300097077,0.0521219383295734,NA,NA,NA,NA,0.880010210178125,0.782267330524703,0.811482687185558,-1.10473804765127
"LASSO.model5","sbpr",-17.8968647420244,0,0.0541815065968511,-0.00376600808683877,-0.00733097100377009,0.0498103688878381,0.000517388482008086,-0.00634292315853747,0.00520568489842227,0.00735932418615568,0.0145291397829043,0.00669353104230334,0,0,0,0,0,0,0.0195257412151545,0.0458749946357083,0,0,0,-0.00361586846960167,0.882119029049369,0.777671390271926,0.821604024859426,-1.0348619014777
"SCAD.model5","sbpr",-18.0929398952135,0,0.0612193225481108,0,-0.0145852729431406,0.0506255110674989,0.00148513460035869,-0.0331823193793407,0.0160836938339125,0,0.000544118703342035,0,0,0,0,0,0,0,0.0252774133251466,0.052832291168129,0,0,0,0,0.880053723581084,0.772883952508617,0.819828351583309,-1.04989619626891
"full.model6","dbpr",-24.704369791061,0.0124576383469061,0.0252031430509639,-0.00238125941082016,-0.0115698553961205,0.0128257048767571,0.00260318485984139,-0.00166717243168532,0.00373396784659333,0.134674406439977,0.0314183002563603,0.0651776753431777,-0.00170500247863015,-0.00346665125283933,-0.000889100684047474,0.0010337336228131,-0.00152966354641148,0.0897311641172602,0.000310168054382992,0.120537267465808,0.000491072165054206,-0.00314820821227494,0.00114787968597208,0.0078684412457215,0.90367557760303,0.857069803119407,0.79363945951884,-1.73679204273031
"stepwise.model6","dbpr",-24.1064129494987,NA,0.0236104673043409,NA,NA,0.0144027910743861,NA,NA,NA,0.208037616711424,NA,0.0636679324281223,NA,NA,NA,NA,NA,NA,NA,0.121476324746532,NA,NA,NA,NA,0.904490360089068,0.840961390948606,0.813797649126662,-1.58231311630484
"LASSO.model6","dbpr",-20.4059313014231,0,0.0200340735567058,0,0,0.0117293758715626,0,0,0.000371158924011721,0.112476996892345,0.00124783182618151,0.0563526375091433,0,0,0,0,0,0,0,0.110533021628767,0,0,0,0,0.904986001703934,0.836614676553311,0.820004394155773,-1.47475665111101
"SCAD.model6","dbpr",-21.2561153265523,0,0.00482036053403946,0,0,0,0,0,0.000127577060151982,0.0888296677765751,0,0.0848414385341563,0,0,0,0,0,0,0,0.13966286732143,0,0,0,0,0.903050188455221,0.841217080030683,0.812699110183456,-1.5642695524579
"full.model7","tgr",-6.09925468358639,0.0082384725599635,-0.0134980042921412,-0.0319387949736804,-0.00896787085783857,0.0185716856591526,-0.00580983565982667,-0.000250269802974524,-0.00559753531717885,0.03501968779196,-0.091625600883335,0.0204706139529756,0.0138164059126378,-0.0122698653175929,0.00567086983874878,0.016036927219628,-0.000119796066269172,-0.0756585779057782,0.134432834368317,-0.0130212822789486,0.0124908280730726,0.00210415500607474,0.00399136426959203,0.00648777241666004,0.872530677940489,0.795595808914935,0.780359092563387,-1.19780440223107
"stepwise.model7","tgr",-6.5301514426639,NA,-0.0137014287292594,-0.0292766187797681,NA,0.013461997608484,NA,NA,NA,NA,NA,0.0156921153742311,0.0135892642068009,-0.0173739143370064,0.0073070991688562,0.00982388808861875,NA,NA,0.0407750732964263,NA,0.0127033660912287,NA,0.00346969394106291,NA,0.872995008028753,0.801456224471675,0.777811476404222,-1.22139969958441
"LASSO.model7","tgr",-6.06781820429322,0,0,0,0,0.00789534910634745,-0.00338855123676656,0,0,0,0.0278891353051374,0,0.0122671496511154,-0.0124604716142476,0.00404000350450414,0,0,0,0.000945445228247097,0,0.0123226765444486,0.00246578465919502,0.00199466523595888,0,0.875669594580056,0.807316640028414,0.779509887176999,-1.19557002947774
"SCAD.model7","tgr",-6.08136413010953,0,0,0,0,0.0109085595276892,0,0,0,0,0.00429452245796401,0,0.0134096497189331,-0.0205399279103357,0.00818765561457816,0,0,0,0,0,0.0132697844332063,0,0.00149345912027558,0,0.874297092792796,0.814420174036583,0.769440737595536,-1.26910381450492
"full.model8","hdlr",17.0960206542045,-0.0263754589381496,-0.0231202627881425,-0.015791248776229,0.0242574677857794,0.0279780553439576,-0.224172229966291,0.0162241064625072,-0.00101235521468665,0.221531307121678,-0.0670123120407519,-0.00816301192970452,0.00410088426907354,-0.169116227402031,-0.00141601324348146,0.00339511111781429,-0.0090984173919859,-0.256227559060414,0.000741039132755194,-0.0221462513488972,-0.000909042662707014,0.00511671839428414,0.0076309559567649,-0.0114328521870404,0.950186362756369,0.907251264755481,0.860541780134728,-3.20797955119638
"stepwise.model8","hdlr",15.1293156452633,NA,-0.015607713472008,NA,NA,NA,-0.201544546911262,NA,NA,NA,NA,NA,0.00284365473289172,-0.17261606139277,NA,NA,-0.0100857358827403,NA,NA,NA,NA,NA,0.00746618469779813,NA,0.951783113277732,0.901349072512648,0.873680187282022,-2.90440033915483
"LASSO.model8","hdlr",11.1881625636304,0,0,0,0.00111880837594212,0,-0.156288941652301,0.00639966663901911,0,0,0,-0.0139453329865129,0.00188679974359172,-0.143710156950841,0,0,0,-0.00447400802059575,0,0,0,0,0,0,0.952758574044382,0.89460370994941,0.880368830920644,-2.52348890276192
"SCAD.model8","hdlr",14.1144497534982,0,0,0,0,0,-0.203050967194593,0,0,0,0,0,0,-0.182744992011957,0,0,0,0,0,0,0,0,0,0,0.953307232960025,0.903035413153457,0.878887774114949,-2.81996928585644
"full.model9","hba1cr",-7.48403965679453,0.0570618010767605,0.00185140812673974,-0.00572707804938236,0.0504349950500757,-0.00454817479222436,0.00985511029778509,-0.00452221838440473,0.012434510394381,-0.237907245982968,0.0320207182629923,-0.0130837056563875,-7.84762634623569e-05,-0.0164531949924861,0.00387777785663223,0.000354776201371033,-0.0012011047362005,-0.156430973608136,0.0150268932925386,0.00291969557721363,0.00150648446717071,0.00656893607240241,-7.52313365398932e-05,0.0429415960635093,0.771797919565171,0.692263528060858,0.701122112211221,-0.809298654828303
"stepwise.model9","hba1cr",-7.32066318626908,0.0562198797183315,NA,NA,0.0504275838788645,NA,NA,NA,0.00857495639791038,-0.2361088548893,0.0461722433616355,-0.0140511264622176,NA,-0.00898479318268679,NA,NA,NA,-0.156978012083602,NA,NA,0.00119126566093644,0.00962020218934358,NA,0.0424256882486224,0.773073882958834,0.678340749246447,0.718811881188119,-0.755381801641414
"LASSO.model9","hba1cr",-7.39362754480949,0.0520222896024421,0,-0.00166682469476285,0.0476450801842267,-0.000204924784105424,0,0,0.0085014956447819,-0.17801036349626,0.0369772842621231,-0.00957387693016823,0,-0.00764044993577248,0.00330034575612321,0,-0.000681846259969471,-0.170489196888842,0.00142538877996,0,0.000961826950052039,0.00616638769607408,0,0.0400800837697096,0.773714327942063,0.687526912587914,0.709240924092409,-0.782209179869147
"SCAD.model9","hba1cr",-7.57263251219947,0.0563346908639661,0,-0.00678295937093978,0.0507360010846176,0,0.00875878877697299,0,0.0108464557298575,-0.2379772488063,0.0470854027553017,-0.0132365289871599,0,-0.0158057581400625,0.00379519165070095,0,-0.00104975188528875,-0.155437273610408,0,0,0.00142971918102984,0.00670631467048516,0,0.0426410125047158,0.771494490054709,0.648198650782259,0.744422442244224,-0.675820119740212
